"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"17-2141.02",4.61,4.25,5,3.38,4.12,4.75,4.5,4.75,2.62,4.12,4.62,4.62,4.5,3,4.25,3.38,1.5,2.62,2.62,4.25,4.62,4,1
"17-2151.00",4.77,4.12,4.88,3.88,4,4.62,4.12,4.38,2.75,3.75,5,4.62,3.88,3.25,4.5,3.5,1.5,3.38,2.38,4,4.88,4.62,1
"17-2161.00",4.59,4,4.38,3.5,3.88,4.25,4.12,4.12,2.75,3.88,5,5,3.62,3.38,4.88,3.25,0.12,2.88,3.12,3,5,4.88,1
"17-2171.00",4.51,4.12,4.12,3.38,3.62,4.25,3.88,4.12,2.38,3.38,4.38,4.5,3.62,2.62,4.12,3.12,0.62,3,2.88,3.12,4.5,4.5,1
"17-2199.01",4.44,4,4.38,3.75,3.88,4.88,4,4,3,4,5,5,4,3.12,4.62,3.25,0,3,3,3.38,5,5,1
"17-2199.02",4.3,3.88,4.38,3,3.12,4.12,4,3.88,2.12,3.5,4.38,4.12,3.12,2.88,4.12,3,0,2.38,2.88,3,4.38,4.12,1
"17-2199.03",4.73,3.75,4.12,3.12,3.62,4.12,4,4,2.5,4,4.75,4.12,3.62,3,4.12,3.12,0,2.5,2.75,3.62,4.62,3.88,1
"17-2199.04",4.42,4.38,4.88,4,4.12,4.38,4.12,4.62,3.12,4.5,4.88,4.75,4.12,3.75,4.38,3.75,1,3.62,2.5,4,4.88,4.38,1
"17-2199.05",4.35,3.25,4.5,2.88,3.5,4.38,3.62,3.88,2.62,3.38,4.5,4.38,4,2.75,4.25,3.12,0.62,2.62,2.75,3.62,4.38,4.38,1
"17-2199.06",4.66,4,4.5,3.5,4,4.38,4.12,3.75,3.25,3.88,4.75,4.5,4,3.38,4.25,3.38,0.5,3,3.25,3.62,4.62,4.5,1
"17-2199.07",4.57,4.62,5.12,3.62,4.25,4.5,4.38,4.88,2.75,4.25,4.88,4.88,4.62,3.12,4.12,3,0,3,2.25,4.12,5,4.62,1
"17-2199.08",4.5,3.88,4.75,3.88,4.12,4.5,4.5,4.75,3,4,4.88,4.62,4.62,3.75,4.5,3.12,1,3.38,2.88,4.62,5,4.62,1
"17-2199.09",4.54,4.75,5.12,3.62,4.12,4.88,4.25,4.62,3,4.25,5.38,5,4.25,3,4.38,3.38,0.25,3.12,2.38,3.62,5.38,4.62,1
"17-2199.10",4.63,3.5,4.38,3.25,3.5,3.88,3.75,4.38,2.62,3.75,4.38,4.38,3.62,2.88,3.75,2.62,0.5,2.5,1.75,4,4.38,3.88,1
"17-2199.11",4.05,3.62,4.12,3,3.62,4,3.75,3.88,3,3.5,4.38,4.38,3.75,2.88,4,3,0,2.75,3,3.25,4.5,4.12,1
"17-3011.01",4.67,3.75,4,3.5,3.12,3.88,4,3.75,2.12,3.25,4.12,4,3.38,3.12,4,2.88,1.62,2.88,2,4.5,4,3.88,1
"17-3011.02",3.9,3.62,3.12,3.12,2.88,3.12,3.75,3,2,3.12,3.88,3.88,3,2.38,3.12,3.12,0.12,2.12,2.38,3.75,4,3.75,1
"17-3012.01",3.96,3,3.5,2.62,3.12,3.5,3.12,3,1.25,2.38,4,4,3,2.25,3.38,3,0.12,2,2.25,3.5,4,3.62,1
"17-3012.02",3.95,3.25,3.62,2.88,3.12,3.5,3.62,3,1.88,2.88,4,4,3,2.75,3.5,2.88,0.75,2.12,2.25,3.5,3.88,4,1
"17-3013.00",4.34,3.5,3.62,3.62,3.25,3.5,3.75,3.62,1.75,3.38,3.88,3.88,3.38,3,3.5,3.25,0.12,2.75,2.25,4,3.75,3.25,1
"17-3021.00",4.47,3.62,4,3.38,3.12,4,3.88,3.12,2.88,3,4.5,4,3,3.38,4.12,3.25,0.12,2.75,2.75,3.75,4,4,1
"17-3022.00",4.08,3.5,4,3.12,3.12,3.75,3.88,3.75,2.5,3.38,4.12,4,2.88,2.88,3.88,3,1.12,2.88,2.62,4,4,4,1
"17-3023.01",4.17,3.5,4,3,2.88,3.88,3.88,3.12,2.88,3,4,3.75,3,2.88,3.88,2.88,0.25,2.5,2.38,3.12,4,3.62,1
"17-3023.03",4.24,3.62,3.88,3.12,3.12,3.62,3.88,2.88,2.38,2.5,4,4,3,3.12,3.88,3,0.5,2.75,2.88,3.75,4,3.62,1
