"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"43-6012.00",3.81,3,3,2.12,2.62,2.88,3,1.88,1.5,2,3.88,4,2.25,2.12,3.12,2.12,0,2,2,1.88,3.88,3.75,0
"43-6013.00",3.7,2.88,3,2.12,2,3,3,2,2.12,2,4,3.75,2,2.12,3,2.75,0,2.12,2.38,1.75,3.25,3.12,0
"43-6014.00",3.42,3,2.88,2.12,2,2.88,3.12,1.75,1.88,1.75,4,4,2,2,3,2.88,0,2,2.75,2,3.88,3.88,0
"43-9011.00",4.16,3,3.75,3.12,3,3.12,3.75,2.75,2.5,2.62,4,4,2.88,3.12,3.88,3.75,0,2.75,2.5,3.5,3.75,3,1
"43-9021.00",4.59,3,2.75,2.75,2.38,2.88,3,2,1.88,2,3.12,3,2,2.75,2.88,2.88,0,2.38,2,2,3,2.88,1
"43-9022.00",3.33,2.88,2.88,2.38,1.88,2.62,3,1.88,1.75,2,3.5,3.12,1.75,3,2.75,2.38,0,2.12,1.88,2,3.62,3.25,0
"43-9031.00",4.05,3.62,3.5,3.75,3.75,3.12,3.75,2.25,2.38,2.38,4,4,3.62,3.25,3.38,3.12,0.75,2.75,2.62,4.38,3.75,3.62,1
"43-9041.01",3.67,2.88,3.5,2.25,1.88,3.12,3.38,2.38,2.12,2.75,3.88,4,1.75,2.12,3,2.5,0,2,1.88,1.62,4,3.38,0
"43-9041.02",3.28,3,3.12,2.75,1.88,3,3,2.88,1.88,2.88,3.88,3.88,1.88,2.75,3,2.12,0.12,2,2,2,3.75,3.12,0
"43-9051.00",2.75,2.75,2.75,2.12,2,2.75,2.88,1.62,2,1.75,3,3,2,2.75,3,2.62,1,2.12,2.12,2.12,3,2.75,0
"43-9061.00",3.8,3,2.88,2.75,2,2.88,3,2.62,2,2.62,3.62,3.62,2,2.5,2.75,2.75,0,2,2.12,2,3.12,3,0
"43-9071.00",2.97,2.88,2.62,2.62,2.12,2.5,2.88,2,2,2.5,3.12,3,2.12,2.75,2.75,2.88,0,2,2.12,2.5,3,2.38,0
"43-9081.00",2.9,2.38,3,2.5,1.62,2.62,3,1,2,0.5,4,3.75,1.62,2.62,3,2.38,0,1.25,1.25,1.5,4.25,4,0
"43-9111.00",4.43,3.38,3.88,3,3.5,3.38,3.75,4.88,2.75,4.62,4.12,4,3.12,2.75,3.38,3,0,2.88,2.25,2.75,4,3.88,1
"43-9111.01",4.16,3.88,3.75,3.62,3.5,3.88,3.62,4.12,2.88,3.38,4.38,4.38,3.25,3.25,3.88,3.25,0,2.88,2.75,3.12,4.5,4.12,1
"45-1011.05",3.5,3,3.88,3.12,3,3.88,3.5,2.5,2.12,2.88,3.88,3.88,3,3,4,3.25,2.62,3,3,3.38,3.25,3,0
"45-1011.06",3.54,3.12,3.88,3.88,3,3.88,3.38,2.88,2.75,3,4.12,4,3,3.25,4,3,1.88,2.62,3,3,3.88,3.88,0
"45-1011.07",4.04,3,3.12,3.38,3,3.12,3,3,2.62,3,3.88,3.88,2.5,3,3.75,3,2,3,3,3,3.12,3.5,1
"45-1011.08",3.55,3.12,3.75,3,2.88,3.12,3.12,2.62,2.5,3,3.88,3.88,3,2.88,4,2.75,1.88,2.75,2.75,2.75,3.75,3.62,0
"45-2011.00",3.77,3.62,3.88,3.75,2.62,3.88,3,2.25,2.25,2.25,3.88,3.88,2.5,3.25,4,3.12,2,3,2.62,3,3.75,3.5,0
"45-2021.00",3.12,3,3.12,2.75,1.75,3,3,2,1.5,2.12,3.12,3,1.88,2.62,3,2.25,1.25,1.88,1.75,2.5,3,2.12,0
"45-2041.00",2.32,2.62,2.12,1.88,0.5,2,1.88,0.75,0.75,1,2.88,2.62,0.62,1.5,2.25,2.12,0,0.75,1,0.88,1.75,1.62,0
"45-2091.00",3.06,2.75,2.88,2.62,2.12,2.75,3,0.88,1.38,1,3.5,3.12,1.38,2.75,3,2.88,2,2,2.12,2.75,2.5,2,0
"45-2092.01",3.08,3,2.62,3,1.88,2.5,2.75,1.5,2,1.62,3,3,1.62,2.25,2.75,2.38,1.12,2.12,1.75,2.25,2.75,2,0
"45-2092.02",2.31,2.75,2.5,2.13,1.75,2.5,2.5,0.5,1.75,0.88,3,3.13,1.75,2.38,2.88,2.5,1.75,2,2.25,2.63,2.38,2,0
"45-2093.00",3.28,3,3.12,2.88,2.12,2.88,2.88,1.5,2,2,3.62,3.12,2.25,2.75,3.25,2.88,2,2.12,2.75,2.75,3,2.62,0
"45-3011.00",3.06,2.88,3,3.38,2.38,2.88,2.88,1.25,2.13,1.63,3.38,3.5,2.25,2.75,3,3.13,3.25,3,2.63,3.13,2.88,2.38,0
"45-3021.00",3.57,3,3,3.38,2.25,3,2.62,0.88,1.75,1,2.88,2.88,2.25,2.75,2.88,2.88,2.88,2.5,2,3,2.62,1.88,0
"45-4011.00",3.68,3,3,3,2.38,3.12,3.12,2,1.88,2.25,3.5,3.75,2.25,2.88,3.38,3,2.38,2,2.88,3.12,3,2.38,0
"45-4021.00",3.31,2.63,3,3.25,1.5,2.75,2.75,1.38,1.5,1.75,2.5,2.63,1.75,3,3.13,2.63,2.63,2.5,2.63,3.38,1.63,1.5,0
"45-4022.00",3.27,3,2.75,2.38,2,2.38,3,2,2,2,2.88,3,2.12,3.12,2.88,2.88,2.88,2,2.12,3,2.12,2.25,0
"45-4023.00",3.4,3.75,3,3.25,2.38,3,3,2.88,1.5,3,3.38,3.5,2.12,3.12,3,3,2,2.38,2.88,3,3,2.88,0
"47-1011.00",4.01,3,3.62,2.75,3,3.25,3.12,2.88,2.38,3,3.88,4,3.12,3,3.25,3,1.5,2.12,2.88,3.25,3.88,3.38,1
"47-1011.03",4.1,3.12,3.62,3.12,3.25,3.5,3.25,3.25,2.62,3.12,3.88,3.88,3.38,3.12,3.75,3.12,1.38,2.75,3,3.38,3.88,3.88,1
"47-2011.00",3.39,3,3.25,2.88,2.75,3.25,3,2.12,2,2.12,3.38,3.12,2.38,3,3.38,2.75,1.88,2.38,2.75,3.25,3,3,0
"47-2021.00",3.61,3,2.75,2.38,2.12,2.75,3.12,2.25,2,2.25,3.12,3,2.12,2.38,3,3,2,2,2.75,3.88,2.88,2.12,0
"47-2022.00",3.31,2.63,2.63,2.5,2.5,2.75,2.75,1.63,2.25,2.25,3.13,3,2.75,2.25,2.88,2.38,1.75,2.13,2.25,3.38,2.38,2.13,0
"47-2031.01",3.67,2.88,3.12,2.62,2.62,3.12,2.88,2.75,2.12,2.75,3.38,3.12,2.75,2.75,3,2.88,2.25,2.12,2.5,3.62,3,2.88,0
"47-2031.02",3.55,3.25,3.25,2.88,2.62,3.12,3.25,2.62,1.88,2.62,3.88,3.5,2.5,2.75,3.38,3.12,1.88,2.5,2.75,3.88,3.25,2.75,0
"47-2041.00",3.81,2.75,2.75,3,2.38,2.75,3,2.12,2,2.38,3.38,3.12,2.12,2.38,2.88,2.62,2,2,2.25,3.5,2.5,1.75,0
"47-2042.00",3.3,2.63,3,2.13,2.13,2.88,3,1,0.63,1.38,3.63,3.13,2.13,1.75,2.63,2.88,1,1.38,2.5,3.5,2.88,2.13,0
"47-2043.00",3.01,2.62,2.5,2.12,1.88,2.25,2.5,1.5,1.38,1.5,2.88,2.75,1.88,2.38,2.62,2.62,1,1.25,2.12,2.75,2.38,2.12,0
"47-2044.00",2.8,3.12,3,2.62,2.62,3,3.38,2.38,1.88,2.62,3.25,2.88,2.75,2.38,2.88,3,1.75,2,2.5,3.62,2.88,2.38,0
"47-2051.00",3.21,2.5,2.62,2.75,2.12,2.38,2.88,1.88,1.5,2,3,2.88,2,2.88,2.75,2.75,1.88,1.75,2.38,3.25,2,1.88,0
"47-2053.00",3.46,2.62,2.5,2.62,2.12,2.25,2.62,1.75,1.75,1.75,2.88,2.75,2,2.88,2.5,2.88,1.5,1.88,2.62,3.12,2,1.12,0
"47-2061.00",2.8,3,2.75,1.88,2,2.75,3,1.25,1.75,1.25,3.5,3,2,2.38,2.88,2.62,2,1.88,2.38,2.62,2.88,2.12,0
"47-2071.00",3.08,2.38,2.62,2.38,1.75,2.5,2.88,1.62,1.88,1.88,3.38,3,1.62,2.62,3,3,2.25,1.75,2.75,3.12,2.25,1.62,0
"47-2072.00",3.24,2.12,2.88,2.38,2,2.75,2.75,1.25,1.25,1.12,3.12,2.88,1.88,2.88,3,3.12,2.75,1.75,2.88,3.25,2.38,2,0
"47-2073.00",2.91,2.62,2.88,2.5,2.25,2.88,2.75,1,1.5,1.12,3.62,3.12,2,3,3.12,3.12,2.5,2.12,3,3.12,2.62,2.12,0
"47-2081.00",3.39,2.75,2.88,2.38,2.25,2.75,2.88,1.88,1.88,2.12,3,3,2.12,2.62,2.88,2.88,1.75,1.88,2.38,3.5,2.75,2.5,0
"47-2082.00",2.82,2.25,2.62,1.88,1.88,2.62,2.62,0.5,1.5,0.75,2.75,2.88,1.5,2,2.5,2.5,1.62,1,2.12,2.38,2.38,1.88,0
"47-2111.00",4.17,3.25,3.88,3.25,2.88,3.62,3.88,3.12,2.88,3,4,4,2.88,3.25,3.75,3.12,2.25,2.88,2.62,4,3.38,3,1
"47-2121.00",3.35,2.75,2.75,1.88,2,2.88,3,1.75,1.12,2,3.62,2.88,1.75,2.12,2.88,2.62,1.38,1.88,2.12,3,2.88,2.12,0
"47-2131.00",3.55,2.88,2.5,2.62,2.12,2.12,2.88,1.75,2.12,2,2.88,2.88,2.12,2.62,2.75,2.88,2,2.12,2.12,3,2.62,2.12,0
"47-2132.00",4.08,3,2.88,2.38,2.25,2.88,2.75,1.75,1,1.88,3.38,3.13,2.25,2.5,3.25,3,1,1.88,2.5,2.88,3,2.63,1
"47-2141.00",3.65,2.5,2.88,2.12,2,2.88,3,1.38,0.88,2,3.12,2.88,2,2,2.5,2.75,1.25,1.5,2.12,2.5,2.88,2.25,0
"47-2142.00",3.69,2.62,2.5,2,1.62,2.62,2.88,1.12,0.75,1.12,2.88,2.62,1.75,2.5,2.62,2.75,1.62,1.38,2.5,3,2.5,2,0
"47-2151.00",3.66,3,2.88,2.75,2,2.88,3,2,1.62,1.62,3.5,3.12,2,2.88,3,3,2,1.88,2.12,3,3,2.25,0
"47-2152.01",3.75,3.12,3,2.88,2.88,3,3.25,2.75,2,2.75,3.75,3.25,2.88,2.88,3.25,3.12,2.12,2.5,2.88,3.75,3.12,2.75,0
"47-2152.02",3.5,2.88,3.25,3,3,3.38,3.12,2,2,2.5,3.75,3.5,2.88,3,3.5,3,2.25,2.12,2.62,3.62,3.12,3,0
"47-2161.00",3.08,2.88,2.75,2.25,2.12,2.75,2.88,1.88,1.88,2,2.75,3.12,2.12,2.5,2.75,2.88,1.62,2.12,2,3,2.62,2.25,0
"47-2171.00",3.86,2.62,2.75,2.5,2.12,2.38,2.75,1.62,1.62,1.88,2.88,2.88,2,2.5,2.75,2.75,2.25,1.88,2.25,3.12,2.12,1.62,1
"47-2181.00",3.71,2.88,3.12,2.38,2.12,2.88,3,1.5,1.38,2,3.75,3,2.25,2.88,2.88,3,1.75,1.62,2.62,3,2.88,2.12,0
"47-2211.00",3.72,3.12,3,2.88,2.75,2.88,3,2.62,2,2.25,3.25,3.12,2.25,3,2.88,3.12,2.12,2,2.88,4,3,2.12,0
"47-2221.00",3.44,2.75,3,2.75,2.75,3,3.25,2,1.88,2.25,3.12,3.12,2.5,3.12,3,3,2.12,2,2.88,3.88,3,2.25,0
"47-2231.00",3.31,3.12,3.25,2.75,2.62,3,3.5,2.38,2.12,2.38,3.62,3.25,2.5,2.88,3.25,2.62,2,2.25,2.62,3.75,2.88,2.5,0
"47-3011.00",2.56,2.38,2.25,2.5,1.88,2,2.38,1.75,1.75,1.88,2.88,2.75,1.75,2.5,2.5,2.75,2.25,1.88,2.12,3,2.12,1.5,0
"47-3012.00",3.78,2.75,2.88,2,2.25,2.25,2.75,2,2.25,2.25,3.25,3,2.38,2.25,3,2.88,1.88,2.12,2.25,3.38,2.25,2,0
"47-3013.00",3.56,2.75,2.75,2.5,1.88,2.88,3,1.38,2,1.5,3.5,2.88,2,2.12,3,2.88,1.25,0.75,2.12,3.38,2.75,2.12,0
"47-3014.00",2.81,2.38,2.25,2,1.63,2.25,2.13,0.25,1.5,0.38,2.13,2.5,1.88,2.25,2.38,2.38,1.63,1.75,1.88,2.25,1.88,1.5,0
"47-3015.00",3.83,2.75,2.75,2,2,2.5,3,1.5,1.12,1.38,3.25,2.88,2,1.88,2.62,2.38,1.88,1.38,2,3.12,2.12,1.12,0
"47-3016.00",3.29,2.5,2.5,3,2.12,2.38,2.25,1.75,1.88,1.75,2.75,2.5,1.75,2.62,2.88,2.5,2.25,2,2,3,2.62,1.88,0
"47-4011.00",4.21,3.12,4,3.25,2.88,4,3.38,3,2.38,3,4,4,2.88,3.12,4.12,3,2,2.62,2.62,3.38,3.88,3.75,1
"47-4021.00",4.28,3,3.13,2.88,2.75,3.13,3.25,2.25,2.13,1.75,3.63,3.5,2.88,3.13,3.38,3.13,1.63,2.13,2.38,3.38,3.25,2.88,1
"47-4031.00",3.76,2.12,2.62,2.12,2,2.75,2.88,2,1.75,2,3,3,1.75,2.12,2.88,2.38,2,1.75,1.88,3.12,2.38,2,0
"47-4041.00",3.93,3.5,3.62,3.12,2.88,3.25,3.25,2,2.62,2,3.88,3.5,2.75,3.12,4,3,1.88,2.5,3,3.38,3.5,3,1
"47-4051.00",3.17,2.88,2.88,3,2,2.88,2.88,2,1.88,2,3.38,3,2,2.88,3,3,2.5,1.88,3,3.12,2.75,2.38,0
"47-4061.00",3.31,2.62,3,3.38,2.12,2.88,2.88,1.5,1.88,1.88,3.25,3,2.12,3.12,3,3.12,2.38,2.38,2.88,3.5,2.75,2.25,0
"47-4071.00",3.42,2.62,3,2.88,2.38,3,2.88,2,2.12,2.38,3.25,3,2,3,3,3,2.25,2.38,2.88,3,2.62,2.62,0
"47-4091.00",3.17,2.88,3,2.25,2.62,2.88,3.12,2,1.88,2,3.5,3.12,2.75,2.5,2.88,3.25,2.38,2.25,2.88,3.12,2.75,2.62,0
"47-4099.02",4.4,3.12,3.12,3.25,3,3.12,3.25,2.5,2.62,2.62,3.62,3.5,3,3.25,3.25,2.88,2.25,2.75,3,3.62,3.25,3.12,1
"47-4099.03",3.79,3,3.25,3.12,2.5,3.25,3.12,2.12,2.25,2.5,3.5,3.5,2.5,2.5,3.12,2.62,2.12,2.12,2.5,3.12,3.12,2.88,0
"47-5011.00",3.57,2.5,2.88,3.5,2.13,2.88,3.13,2,2.38,2,3.75,3.75,2,3.38,3.38,3.5,2.25,2.75,3.13,3.38,2.63,2.63,0
"47-5012.00",3.97,3.13,3.38,2.88,2.75,3.25,3.75,2,2.5,2.25,3.75,3.63,2.63,3,3.5,4,2,2.38,3,3.13,3,3.13,1
"47-5013.00",3.39,3,3.25,2.88,2.25,3.12,3,2.38,2.12,2.62,3.5,3.62,2.38,3.38,3.5,3.12,2.12,2.75,2.88,3.25,2.88,2.88,0
"47-5021.00",3.58,3.12,3.12,3,2.12,3.12,3.12,1.75,2.12,2.12,3.5,3,2.12,3.5,3.62,3,2.38,2.38,2.88,3.25,2.88,2.88,0
"47-5031.00",3.96,3.38,3.75,3.38,3,3.75,4,2.25,2,2.38,3.88,3.5,3,3.63,3.88,3.5,1.88,2.63,3,3.38,3.25,2.75,1
"47-5041.00",3.28,3,3,3.12,2.38,3.12,3,1.38,2.12,1.38,3.5,3,2.25,3.25,3.62,3,2.62,2.62,2.88,3,2.38,2.12,0
"47-5042.00",3.54,2.63,2.75,2.75,2.13,2.63,2.88,1.5,2,2,3.38,3.25,2.13,2.88,3.13,3,2,2,2.75,2.75,2.38,1.88,0
"47-5051.00",3.13,2.88,2.75,2.5,1.5,2.75,2.88,1.25,1.5,1.5,3,2.88,1.88,2.5,2.75,2.75,1.88,1.38,2.62,2.88,2.5,2.12,0
"47-5061.00",3.13,2.5,3,2.5,2.12,2.88,3.25,1.25,2.12,1.88,3.38,3,2.12,2.5,3.38,3.25,2.75,2,2.88,3,2.12,2.25,0
"47-5071.00",3.06,2.5,2.62,2.88,1.88,2.62,2.75,1.38,2,1.62,3,2.62,2,3,2.75,2.88,2,1.88,2.38,3,1.88,1.38,0
"47-5081.00",3.02,2.88,2.88,2.88,2.25,2.88,2.88,2,2.12,2,2.88,2.75,2.25,2.75,3,3,2.88,2.12,2.75,3,2.38,2.12,0
"49-1011.00",4.08,3.62,4,3.5,3.5,3.75,3.75,3.12,3,3.25,4.12,4.12,3.5,3.12,4,3.25,1.62,3.25,3.12,3.62,4,4,1
"49-2011.00",4.29,3,3.12,2.88,2.75,3.12,3.12,1.62,2.25,1.88,3.62,3.75,2.88,2.88,3,3,1.5,2,2.75,3.5,3.38,3,1
"49-2021.00",4.24,2.88,3.25,2.75,2.5,3.12,3.38,2.38,2.38,2.38,3.75,3.62,2.5,2.75,3.38,3,2.12,2.12,2.25,3.5,3.38,2.88,1
"49-2021.01",4.03,2.88,3.12,3.12,2.62,3.25,3.38,2.12,2.25,2,3.62,3.12,2.25,3.12,3.12,3,1.25,2.25,2.12,3.75,3.12,3,1
"49-2022.00",4.07,3,3.25,3.12,3,3.25,3.5,2.12,2.88,2.25,4,3.5,2.88,3.25,3.25,3,2.25,2.62,2.88,3.75,3.5,3,1
"49-2091.00",4.22,3,3.88,3.25,3,3.75,3.88,2.25,2.38,2.12,4.12,3.88,2.75,2.88,3.88,3.25,0.88,2.25,2.62,3.88,4.25,3.75,1
"49-2092.00",3.91,3.25,3.25,3.12,2.88,3.25,3.38,2,2.25,2.25,3.75,3.12,2.88,3,3.12,3.5,1.25,3.12,2.88,3.62,3,2.88,1
"49-2093.00",4.39,3.12,3,3,2.38,3,3.12,2.12,1.75,2.12,3.75,3.25,2.25,3,3.25,2.88,1,2.12,2.38,3.12,3,3,1
"49-2094.00",4.25,4,4,3.88,3,3.62,3.88,3,2.88,3,4,3.62,3,3.62,3.88,3.25,1.75,3,2.38,4,3.88,3.12,1
"49-2095.00",4.61,3,3,3.12,2.88,3,3.12,2.88,2.75,2.75,3.88,3.88,3,3.12,3.25,3,1.25,2.12,2.75,3.25,3.5,3.25,1
"49-2096.00",3.89,3.25,3.12,2.88,3,3.12,3.25,2.38,2.12,2.25,3.88,3,2.88,2.88,3.12,3.12,1.88,2.25,2.75,3.62,3,3,1
"49-2097.00",3.58,2.63,3.25,3.25,2.88,3,3.38,2,2.63,2.5,3.38,3.38,2.88,2.63,3.13,2.5,1.5,2.5,2.25,3.5,3.5,2.63,0
"49-2098.00",3.71,2.88,3.12,2.88,2.62,3.12,3,1.88,2,2.12,3.75,3.62,2.75,2.88,3.25,2.75,2,2.12,2.75,3.38,3.12,2.88,0
"49-3011.00",3.78,3.62,3.88,3.62,3,3.88,4,2.75,2.5,2.25,3.88,3.75,2.88,3.62,4,3.12,2,3,2.88,4,4.12,3.12,0
"49-3021.00",4.06,3,3,3,2.75,3,3.12,2,2.12,2.25,3.5,3.12,2.38,2.88,3.12,3,1.88,1.88,2.25,3.88,2.88,2.12,1
"49-3022.00",2.99,2.25,2.88,2,1.88,2.75,2.88,1.5,1.75,1.75,2.88,2.88,2,2.12,2.75,2.75,1.75,1.88,2.38,3,2.5,2.12,0
"49-3023.01",3.84,3,3.62,3.5,2.88,3.62,3.62,2.12,2.75,2.38,3.5,3.5,3,3,3.75,3.12,2,2.88,2.88,3.88,3.12,2.88,0
"49-3023.02",3.61,3,3.5,3.12,2.62,3.38,3.5,1.25,2.12,1.88,3.62,3.25,2.12,3,3.12,3.38,1.88,3.12,2.88,3.88,2.88,2.62,0
"49-3031.00",3.99,3,3.25,3.12,2.62,3.25,3.12,1.38,2.12,2,3.75,3.25,2.5,3,3.25,3,1.62,2.5,2.88,3.75,2.88,2.5,1
"49-3041.00",3.97,3.12,3.25,3.12,2.62,3.12,3.25,2.12,2.62,2.62,3.25,3.25,2.12,3,3.12,3.25,2,2.75,2.75,3.75,3.12,2.75,1
"49-3042.00",3.85,3.12,3.62,3.25,2.88,3.62,3.88,2.25,2.75,2.38,3.88,3.62,2.88,3.38,3.62,3.5,2.12,2.88,2.88,4,3.38,2.75,0
"49-3043.00",3.1,3,3,3.25,2.12,3,3,2.12,2.12,2.12,3,3,2.12,3.12,3.25,3.12,2.12,2.62,2.5,3.88,2.88,2.38,0
"49-3051.00",3.81,2.88,3.25,3.12,2,3.5,3.38,2,2,2,3.62,3.38,2,2.88,3.38,3,1.38,2.12,2.5,3.38,2.88,2.38,0
"49-3052.00",4.18,2.88,3.25,2.62,2.88,3,3.12,1.25,2.25,1.88,3.62,3.5,2.88,2.12,3.12,3.12,1.75,2.12,2.88,3.62,3,2.88,1
"49-3053.00",3.85,3,3.12,3,2.5,3.12,3.12,2,2.12,2,3.12,3.25,2.12,2.88,3,3.12,1.62,2.25,2.5,3.88,2.75,2.75,0
"49-3091.00",4.59,3,2.88,2.25,2.75,2.88,3.12,1.75,2.12,2.12,3.5,3.38,2.5,2.25,3,2.88,0.5,2.12,2.12,3.75,3,2.5,1
"49-3092.00",3.6,2.88,3.25,3.25,2.5,3.38,3.5,1.38,2,1.38,3.88,3.75,2.62,3.12,3.5,3,1.25,2.75,2.5,3.5,3.25,2.75,0
"49-3093.00",3.43,2.25,2.88,2.25,2,2.12,2.88,1.62,2,2,3.12,3,2,2,2.88,2.62,1.75,2,2.12,2.25,2.25,2,0
"49-9011.00",3.5,2.88,3,2.62,2.12,3,2.88,2.12,2.12,2,3.12,3.12,2.12,2.62,3,2.75,2.12,2.75,2.38,3.62,2.88,2.75,0
"49-9012.00",3.65,3.12,3.25,2.88,2.75,3.12,3.38,2.12,2,2.12,3.75,3.25,2.75,3,3.12,3,1.5,1.75,2.75,3.25,3.12,2.88,0
"49-9021.01",4.36,2.88,3.38,3,2.75,3.38,3.62,2.75,2.62,2.62,4,3.88,2.75,3,3.62,3.12,2.38,2.75,2.75,4,3.12,3,1
"49-9021.02",4.27,3,3.25,3.5,2.75,3.38,3.62,2,2.75,2.12,3.75,3.75,2.75,3,3.75,3.12,2,3,2.88,3.75,3.25,3,1
"49-9031.00",4.01,3,3,3,2.75,3,3,2.12,2.12,2.5,3.25,3.12,2.12,2.88,3.12,3,1.12,2.12,2.88,3.75,3,2.88,1
"49-9041.00",3.89,3,3,2.88,2.62,3,3.88,2.12,2.5,2.12,3.25,3,2.5,2.88,3.12,3.38,1.88,2.88,2.88,3.75,3.12,2.88,1
"49-9043.00",3.86,2.88,3,3,2.25,3,3,2.12,2.12,2,3.38,3.12,2.12,3,3,3,1.62,2,2.5,3.12,3,2.75,1
"49-9044.00",3.91,3.12,3.12,3.12,3,3.12,3.88,2.62,2.25,2.75,3.88,3.62,2.88,3.12,3.5,3.25,2,2.88,3,3.88,3.12,2.88,1
"49-9045.00",2.77,2.88,3,2.5,1.88,2.88,3.13,1.63,1.13,1.75,3,3,1.88,2.75,2.88,3.38,1.75,2,2.38,3,3,2.63,0
"49-9051.00",3.45,3.12,3.12,2.75,3,3.12,3.88,1.38,2.25,1.88,3.88,3.38,3,2.38,3.75,3.38,2,2.38,3,3,3,3,0
"49-9052.00",4.16,2.88,3,3,2.38,3,2.88,2,2,2.12,3.62,3.5,2.38,3,3,2.88,2,2,2.62,3.12,3,2.62,1
"49-9061.00",3.73,3,3.25,2.75,2.38,3.25,3.38,2.25,2.38,2.62,3.38,3.25,2.62,2.88,3.38,2.75,0,2.38,2,3.75,3.38,2.5,0
"49-9062.00",4.2,3.25,3.5,3.38,3,3.38,3.88,3,2.88,3,3.88,3.62,3,3.25,3.38,3,1.25,3,2,4,3.88,3,1
"49-9063.00",3.93,3.25,3,3,2.75,3.12,3.25,2,2.62,2.12,3.5,3.62,2.75,2.5,3.12,3.25,0.12,2.75,2.62,3.75,2.88,2.38,1
"49-9064.00",4.12,3,3,2.88,2.25,3,3.12,1.88,2.12,2,3.25,3,2.62,2.38,3.12,3,0,2,2.38,3.25,3,2.38,1
"49-9071.00",3.61,3.12,3.12,3,2.25,3.12,3.88,1.88,2.12,1.88,3.75,3.25,2.12,2.88,3.25,3,1.88,2.62,2.25,3.75,3,2.62,0
"49-9081.00",4.06,3,3.75,3.25,2.88,3.25,3.38,2.38,2.75,2.25,3.88,3.62,2.62,3.12,3.38,2.75,1.88,2.75,2.75,3.62,3.38,2.62,1
"49-9091.00",3.33,2.88,3,2.5,2.12,2.88,2.88,2,2,2.12,3,3,2,2.88,3,2.88,1.75,1.38,2.62,3.25,3,2.62,0
"49-9092.00",3.96,3.12,3.5,3.75,3,3.5,3.25,2,2.25,2.25,4,3.88,3,3.62,3.75,3.25,3,2.75,3,3.38,3.5,3.12,1
"49-9093.00",3.39,2.62,2.5,2.38,2,2,2.5,1.75,0.25,1.88,2.62,2.38,1.88,2,2.25,2.88,0,1.25,1.88,3,2.38,1.62,0
"49-9094.00",4.19,3,3,2.88,2.38,3,3.25,2,2.25,2.12,3.12,3.5,2.38,2.75,3,2.88,1.88,2.62,2.12,3.75,3,2.62,1
"49-9095.00",3.87,3,3.63,3.25,2.88,3.25,3.5,2.25,3,2.63,3.88,3.75,2.88,3,3.25,3.25,2.88,2.63,3.13,4.25,3.25,2.63,1
"49-9096.00",3.77,2.88,2.88,2.5,2.13,2.88,3.25,0.38,1.88,0.5,3.38,3.5,2.25,2.88,3.38,3.25,2.38,1.88,2.5,3.75,2.5,2.25,0
"49-9097.00",4.05,2.88,3.5,3.5,2.5,3.38,3.38,2.5,2.63,2.38,3.5,3,2.13,3.25,3.38,3.25,2.63,3,2.88,3.88,3,2.63,1
"49-9098.00",3.14,2.88,2.88,3,2.25,2.88,3,1.5,2.12,1.5,3.62,3,2,3,2.88,2.88,1.75,2.12,2.5,3.5,2.38,1.62,0
"49-9099.01",3.93,3.38,3.38,3.12,2.75,3.38,3.25,2.88,2.38,2.88,3.88,3.62,2.75,3.62,3.5,3.75,2.12,3,3.25,3.5,3.38,2.88,1
"51-1011.00",3.92,3,4,2.88,3.25,3.75,3.62,2.75,2.25,2.75,4,4,3.5,3.25,3.62,3.38,0.88,2.25,2.88,3.12,3.75,3.88,1
"51-2011.00",3.26,3,3.25,2.88,2.88,3,3.62,2.12,2,2.62,3.75,3.12,2.5,3,3.38,3.38,1.75,2.38,2.5,3.88,3.62,2.75,0
"51-2021.00",3.56,2.5,2.62,2.12,2,2.62,2.62,1,1,1.25,2.88,2.88,0.88,2.88,3,3,0.5,1.25,2.12,2.25,2.75,2,0
"51-2022.00",2.72,2.88,3,2.75,2.38,3.12,3.12,1.5,1.5,1.75,3.5,3.12,2.12,2.88,3,2.88,0.62,2,2,3.75,3,2.62,0
"51-2023.00",3.57,3,3,2.75,2.12,3,3.62,1.88,1.75,1.75,3.12,2.88,2,2.88,3.25,2.88,0,1.88,1.88,3.5,2.88,2.62,0
"51-2031.00",3.75,3,3,3,2,3,3,2,2,2,3.12,3,2,3,3,3,1.88,2,2.75,3.88,3.12,2.25,0
"51-2041.00",3.55,3,3,2.12,1,2.88,3,1.38,0.88,1.38,3,3,1,2.25,3,3,0.75,1.25,2.38,3.62,3,2.38,0
"51-2091.00",3.38,3.13,2.88,3.5,2.63,2.88,3.13,2,2,2.13,3.13,2.75,2.38,3,2.88,2.88,1.5,2.38,2.5,3.25,2.88,2.5,0
"51-2092.00",3.85,2.75,2.75,2.25,1.88,2.75,3.25,1.12,1.75,1.25,3.88,3.25,1.88,2.5,2.88,3,1.25,1.75,2.62,2.88,2.88,2.62,0
